Jeremy | Gerrit Cole | P | 
Matt | Joc Pederson  | bat | 
Matt | Jorge Soler | bat | 
Matt | Jose Abreu | bat | 
Matt | Josh Bell | bat | 
Matt | Luke Voit | bat | 
Matt | Michael Brantley | bat | 
Matt | Ozzie Albies | bat | 
Matt | Rafael Devers | bat | 
Matt | Ronald Acuna | bat | 
Matt | Sean Murphy | bat | 
Matt | Tommy Pham | bat | 
Matt | Vidal Brujan | bat | 
Matt | Yasmani Grandal | bat | 
Matt | Casey Mize | P | 
Matt | Clayton Kershaw | P | 
Matt | Hyun-Jin Ryu | P | 
Matt | Jacob deGrom | P | 
Matt | Jake Odorizzi | P | 
Matt | Liam Hendriks | P | 
Matt | Matthew Boyd | P | 
Matt | Matthew Liberatore | P | 
Matt | Merrill Kelly | P | 
Matt | Mike Leake | P | 
Matt | Patrick Corbin | P | 
Matt | Randy Dobnak | P | 
Matt | Shane Bieber | P | 
Matt | Stephen Strasburg | P | 
Matt | Steven Matz | P | 
Matt | Taylor Rogers | P | 
Matt | Touki Toussaint | P | 
Matt | Trevor Bauer | P | 
Brandon | Aaron Ashby | P | 
Brandon | Cade Cavalli | P | 
Brandon | Nick Castellanos | bat | 
Brandon | Ryan Mountcastle | bat | 
Brandon | Tim Anderson | bat | 
Brandon | Mike Soroka | P | 
Brandon | Frank Schwindel | bat | 
Brandon | Dane Dunning  | P | 
Brandon | Christian Javier | P | 
Brandon | Dinelson Lamet | P | 
Brandon | Kumar Rocker | P | 
Brandon | Adalberto Mondesi | bat | 
Brandon | Amed Rosario | bat | 
Brandon | Anthony Rendon | bat | 
Brandon | Austin Meadows | bat | 
Brandon | Christian Walker | bat | 
Brandon | Drew Waters | bat | 
Brandon | Francisco Lindor | bat | 
Brandon | Jesse Winker | bat | 
Brandon | JJ Bleday | bat | 
Brandon | Jorge Polanco | bat | 
Brandon | Ke'Bryan Hayes | bat | 
Brandon | Kris Bryant | bat | 
Brandon | Max Kepler | bat | 
Brandon | Miguel Sano | bat | 
Brandon | Mookie Betts | bat | 
Brandon | Oscar Mercado | bat | 
Brandon | Tommy Edman | bat | 
Brandon | Xander Bogaerts | bat | 
Brandon | Yandy Diaz | bat | 
Brandon | Aaron Civale | P | 
Brandon | Dakota Hudson | P | 
Brandon | Danny Duffy | P | 
Brandon | Domingo German | P | 
Brandon | Jose Urquidy | P | 
Brandon | Lance McCullers | P | 
Brandon | Marcus Stroman | P | 
Brandon | Max Scherzer | P | 
Brandon | Mike Clevinger | P | 
Brandon | Sandy Alcantara | P | 
Brandon | Zach Plesac | P | 
Brandon | Zack Wheeler | P | 
Bill | Alek Manoah | P | 
Bill | Shane Baz | P | 
Bill | Tyler O'Neill | bat | 
Bill | Byron Buxton | bat | 
Bill | Carlos Rodon | P | 
Bill | Kyle Schwarber | bat | 
Bill | Joe Ryan | P | 
Bill | Tanner Houck | P | 
Bill | Hunter Renfroe | bat | 
Bill | Jake Cronenworth | bat | 
Bill | Alex Wood | P | 
Bill | Corey Seager | bat | 
Bill | Eddie Rosario | bat | 
Bill | J.D. Martinez | bat | 
Bill | Joey Gallo | bat | 
Bill | Jose Altuve | bat | 
Bill | Lourdes Gurriel Jr | bat | 
Bill | Marcell Ozuna | bat | 
Bill | Matt Olson | bat | 
Bill | Mike Trout | bat | 
Bill | Nelson Cruz | bat | 
Bill | Nolan Arenado | bat | 
Bill | Zac Veen | bat | 
Bill | Aaron Nola | P | 
Bill | Chris Sale | P | 
Bill | Corey Kluber | P | 
Bill | Dylan Cease | P | 
Bill | Garrett Crochet | P | 
Bill | Ian Anderson | P | 
Bill | Julio Urias | P | 
Bill | Kevin Gausman | P | 
Bill | Kyle Gibson | P | 
Bill | Lance Lynn | P | 
Bill | Lucas Giolito | P | 
Bill | Luis Patino | P | 
Bill | Matt Manning | P | 
Bill | Michael Kopech | P | 
Bill | Tarik Skubal | P | 
Bill | Tyler Glasnow | P | 
Bill | Walker Buehler | P | 
Bill | Yu Darvish | P | 
Bill | Salvador Perez | bat | 
Zax | Logan Webb | P | 
Zax | Jack Flaherty | P | 
Zax | Max Muncy | bat | 
Zax | Cedric Mullins | bat | 
Zax | Jordan Montgomery | P | 
Zax | John Means | P | 
Zax | Jared Walsh | bat | 
Zax | Taijuan Walker | P | 
Zax | Antonio Senzatela | P | 
Zax | Ty France | bat | 
Zax | Will Smith | bat | 
Zax | Aaron Judge | bat | 
Zax | Andrew Benintendi | bat | 
Zax | Anthony Rizzo | bat | 
Zax | Bryce Harper | bat | 
Zax | Carlos Correa | bat | 
Zax | Dansby Swanson | bat | 
Zax | Giancarlo Stanton | bat | 
Zax | Javier Baez | bat | 
Zax | Juan Soto | bat | 
Zax | Manny Machado | bat | 
Zax | Michael Conforto | bat | 
Zax | Teoscar Hernandez | bat | 
Zax | Trevor Story | bat | 
Zax | Yoan Moncada | bat | 
Zax | Shohei Ohtani | P | 
Zax | Carlos Carrasco | P | 
Zax | Charlie Morton | P | 
Zax | Eduardo Rodriguez | P | 
Zax | Framber Valdez | P | 
Zax | Frankie Montas | P | 
Zax | Kyle Hendricks | P | 
Zax | Madison Bumgarner | P | 
Zax | Marco Gonzales | P | 
Zax | Mitch Keller | P | 
Zax | Robbie Ray | P | 
Zax | Sean Manaea | P | 
Zax | Sonny Gray | P | 
Zax | Triston McKenzie | P | 
Zax | Zack Greinke | P | 
Zax | Brandon Nimmo | bat | 
Zax | Spencer Howard | P | 
Zax | Shohei Ohtani | bat | 
